"hourstamp","week","day_of_week","metric","value"
"2017-02-02 14:00:00.000","5","4","imsisum","19931"
"2017-02-02 14:00:00.000","5","4","mapsum","96733"
"2017-02-02 14:00:00.000","5","4","usagesum","828020791"
"2017-02-02 15:00:00.000","5","4","countCL","15343"
"2017-02-02 15:00:00.000","5","4","countSAI","60150"
"2017-02-02 15:00:00.000","5","4","countUGL","6846"
"2017-02-02 15:00:00.000","5","4","countUL","12183"
"2017-02-02 15:00:00.000","5","4","gtpv1sum","81979"
"2017-02-02 15:00:00.000","5","4","gtpv2sum","91"
"2017-02-02 15:00:00.000","5","4","imsisum","20396"
"2017-02-02 15:00:00.000","5","4","mapsum","97283"
"2017-02-02 15:00:00.000","5","4","usagesum","782115121"
"2017-02-02 16:00:00.000","5","4","countCL","13447"
"2017-02-02 16:00:00.000","5","4","countSAI","56754"
"2017-02-02 16:00:00.000","5","4","countUGL","5888"
"2017-02-02 16:00:00.000","5","4","countUL","11311"
"2017-02-02 16:00:00.000","5","4","gtpv1sum","78056"
"2017-02-02 16:00:00.000","5","4","gtpv2sum","67"
"2017-02-02 16:00:00.000","5","4","imsisum","19911"
"2017-02-02 16:00:00.000","5","4","mapsum","90827"
"2017-02-02 16:00:00.000","5","4","usagesum","641683851"
"2017-02-02 17:00:00.000","5","4","countCL","11548"
"2017-02-02 17:00:00.000","5","4","countSAI","53228"
"2017-02-02 17:00:00.000","5","4","countUGL","4845"
"2017-02-02 17:00:00.000","5","4","countUL","10239"
"2017-02-02 17:00:00.000","5","4","gtpv1sum","78166"
"2017-02-02 17:00:00.000","5","4","gtpv2sum","129"
"2017-02-02 17:00:00.000","5","4","imsisum","19151"
"2017-02-02 17:00:00.000","5","4","mapsum","82393"
"2017-02-02 17:00:00.000","5","4","usagesum","658881582"
"2017-02-02 18:00:00.000","5","4","countCL","9729"
"2017-02-02 18:00:00.000","5","4","countSAI","48996"
"2017-02-02 18:00:00.000","5","4","countUGL","3973"
"2017-02-02 18:00:00.000","5","4","countUL","8760"
"2017-02-02 18:00:00.000","5","4","gtpv1sum","72435"
"2017-02-02 18:00:00.000","5","4","gtpv2sum","30"
"2017-02-02 18:00:00.000","5","4","imsisum","16538"
"2017-02-02 18:00:00.000","5","4","mapsum","73921"
"2017-02-02 18:00:00.000","5","4","usagesum","482953977"
"2017-02-02 19:00:00.000","5","4","countCL","8632"
"2017-02-02 19:00:00.000","5","4","countSAI","47089"
"2017-02-02 19:00:00.000","5","4","countUGL","3591"
"2017-02-02 19:00:00.000","5","4","countUL","7985"
"2017-02-02 19:00:00.000","5","4","gtpv1sum","71471"
"2017-02-02 19:00:00.000","5","4","gtpv2sum","35"
"2017-02-02 19:00:00.000","5","4","imsisum","16305"
"2017-02-02 19:00:00.000","5","4","mapsum","69823"
"2017-02-02 19:00:00.000","5","4","usagesum","475867016"
"2017-02-02 20:00:00.000","5","4","countCL","8035"
"2017-02-02 20:00:00.000","5","4","countSAI","45437"
"2017-02-02 20:00:00.000","5","4","countUGL","3357"
"2017-02-02 20:00:00.000","5","4","countUL","7623"
"2017-02-02 20:00:00.000","5","4","gtpv1sum","66383"
"2017-02-02 20:00:00.000","5","4","gtpv2sum","164"
"2017-02-02 20:00:00.000","5","4","imsisum","15758"
"2017-02-02 20:00:00.000","5","4","mapsum","66773"
"2017-02-02 20:00:00.000","5","4","usagesum","442645990"
"2017-02-02 21:00:00.000","5","4","countCL","7336"
"2017-02-02 21:00:00.000","5","4","countSAI","43581"
"2017-02-02 21:00:00.000","5","4","countUGL","2935"
"2017-02-02 21:00:00.000","5","4","countUL","7112"
"2017-02-02 21:00:00.000","5","4","gtpv1sum","65398"
"2017-02-02 21:00:00.000","5","4","gtpv2sum","55"
"2017-02-02 21:00:00.000","5","4","imsisum","14883"
"2017-02-02 21:00:00.000","5","4","mapsum","64020"
"2017-02-02 21:00:00.000","5","4","usagesum","468051905"
"2017-02-02 22:00:00.000","5","4","countCL","6800"
"2017-02-02 22:00:00.000","5","4","countSAI","42509"
"2017-02-02 22:00:00.000","5","4","countUGL","2813"
"2017-02-02 22:00:00.000","5","4","countUL","6798"
"2017-02-02 22:00:00.000","5","4","gtpv1sum","63093"
"2017-02-02 22:00:00.000","5","4","gtpv2sum","38"
"2017-02-02 22:00:00.000","5","4","imsisum","15075"
"2017-02-02 22:00:00.000","5","4","mapsum","62662"
"2017-02-02 22:00:00.000","5","4","usagesum","396700670"
"2017-02-02 23:00:00.000","5","4","countCL","6768"
"2017-02-02 23:00:00.000","5","4","countSAI","44894"
"2017-02-02 23:00:00.000","5","4","countUGL","3260"
